project;plan
interval;"This module works with Drupal 9 🌰 If you find something else, please <a href=""https://www.drupal.org/node/add/project-issue/interval"">Open an issue!</a> - thanks!"
vani;"This theme is Drupal 9 ready. Vani theme is compatible on Drupal 9. So, go ahead and use the theme on Drupal 9 websites."
hierarchical_taxonomy_menu;"This module is Drupal 9 ready."
modules_weight;"This module is ready for Drupal 9."
markdown;[#3103679]
critical_css;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/critical_css/releases/8.x-1.13"">version 1.13</a>"
paragraphs_admin;"Ready to be used with Drupal 9."
twigsuggest;"This module is ported to Drupal 9."
text_summary_options;"This module is already compatible with Drupal 9."
pdfpreview;"This module is ready for Drupal 9."
contact_storage_export;"This module is Drupal 9 ready."
imce_rename_plugin;"Fully compatible with Drupal 9."
maillog;"Should work with Drupal 9 as of the 8.x-1.0-beta1 release."
config_inspector;"Current releases of the project support Drupal 9. [#3203184]"
mail_safety;"8.x-1.1+ is Drupal 9 compatible."
role_expire;"Fully compatible with Drupal 9 since 8.x-1.4."
toc_js;"Compatible with Drupal 9 since 8.x-1.8 version"
slick_lightbox;"Slick Lightbox 8.x supports Drupal 9. Enjoy."
oembed_providers;"This module is ready for Drupal 9!"
tzfield;"The 8.x-1.x branch of this module supports Drupal 9."
varbase_total_control;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_total_control?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
tour_ui;"No known issues."
ckeditor_scayt;"Module is Drupal 9 ready."
colorapi;"Release 1.1 is ready. Please test."
bfd;"This theme is compatible with Drupal 9."
colorbox_field_formatter;"This project is ready for Drupal 9"
block_blacklist;"Do not use for Drupal 9, switch to <a href=""https://www.drupal.org/project/block_list_override"">Block List Override</a> instead."
vmi;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vmi?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
cookiebot;"8.x-1.0-alpha7+ is Drupal 9 compatible."
view_mode_page;"Version 4.0.0 supports Drupal 9."
vendor_stream_wrapper;"Release 1.6 is here. Please test."
rrssb;"RRSSB supports Drupal 9"
footnotes;"Footnotes 3.0.0+ supports Drupal 9. Enjoy."
theme_switcher;"Theme Switcher supports Drupal 9."
juicerio;[#3086282]
hotkeys_for_save;"The module is ready for Drupal 9."
bricks;"Porting efforts at [#3131548]"
search_api_solr_multilingual;"This functionality of this module is already merged in Search API Solr itself. Just use that one. But the 3.x version of Search API Solr Multilingual still provides the required upgrade hooks to switch to Search API Solr! The 3.1 version and it's upgrade hooks already support Drupal 9!"
bootstrap_site_alert;"Drupal 9 is fully supported since versions 8.x-1.8 && 8.x-2.0-beta5"
varbase_editor;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_editor?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
views_year_filter;"Release <code>8.x-1.1</code> or higher is D9 compatible!"
reference_table_formatter;[#3144081]
key_auth;"Completed with version 8.x-1.1."
better_search;"Better Search Block 8.x-1.5+ supports Drupal 9. Enjoy."
search_api_spellcheck;"Full Drupal 9 support!"
image_style_warmer;"Compatible with Drupal 9; please report any incompatibilities in the <a href=""https://www.drupal.org/project/issues/image_style_warmer"">issue queue</a>."
restrict_ip;"Use 3.x Drupal 9 compatible SemVer release."
page_specific_class;"Fully Drupal 9 compatible as of 2.0.x."
apigee_edge;"8.x-1.10+ is Drupal 9 compatible."
login_popup;"Drupal 9 compatible"
rest_export_nested;"REST export Nested 8.x-1.0-alpha5 supports Drupal 9."
comment_notify;"Compatible with Drupal 9"
varbase_core;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_core?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
field_encrypt;"8.x-2.0-alpha2 is compatible with Drupal 9"
varbase_seo;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_seo?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
config_normalizer;"8.x-1.x is Drupal 9 compatible."
route_condition;"This project will be compatible with Drupal 9 when it is released."
no_autocomplete;"This module is ready for Drupal 9."
http2_server_push;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/http2_server_push/releases/8.x-1.1"">version 1.1</a>!"
quick_node_block;"Compatible Stable Version to Drupal 9!"
block_in_page_not_found;"This module is compatible with Drupal 9."
vertical_tabs_config;"This module is already compatible with Drupal 9."
scheduled_transitions;"2.x branch is compatible with Drupal 9."
bootstrap5;"Drupal 9 compatible"
block_list_override;"This module is Drupal 9 compatible."
content_language_access;"Version 8.x-1.1 should work on Drupal 9. Please report any issues you find"
entity_reference_tree;"2.0.0+ Support Drupal 9."
menu_force;"This module is Drupal 9 compatible since the 1.2 release."
ckeditor_abbreviation;"This project is ready for Drupal 9"
bootstrap_basic_image_gallery;"Drupal 9 compatible"
external_link_popup;Compatible
filehash;"The 8.x-1.x branch of this module supports Drupal 9."
linkchecker;"Read more about this project’s readiness at [#3094762]"
views_send;"Version 8.x-1.5 is ready for Drupal 9."
magazine_lite;"The theme is fully compatible with Drupal 9"
migrate_manifest;"Works with Drupal 9.1 or higher. Drupal 9.0 will not work due to an API change fixed in later versions."
varbase_bootstrap_paragraphs;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_bootstrap_paragraphs?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
copyright_block;"8.x-1.0-rc3 is Drupal 9 compatible."
copyprevention;"This module is Drupal 9 compatible 🍻"
oauth2_client;"Version 3.x is ready for Drupal 9"
at_theme;"This theme is D9 compatible."
paragraphs_jquery_ui_accordion;"8.x-1.x-dev is compatible with Drupal 9."
copyright_footer;"<a href=""https://www.drupal.org/project/copyright_footer/issues/3138975"" title=""Drupal 9 readiness"">Issue #3138975: Drupal 9 readiness</a>"
pcb;"This module is Drupal 9 ready."
disable_link_rel;"The current module version is ready to run!"
nbsp;"NBSP is now out for Drupal 9"
flickity;"The 3.0.x version is Drupal 9 ready! Feel free to work on some issues in the queue to get a stable release."
newsplus_lite;"The theme is fully compatible with Drupal 9"
courier;"Drupal 8.9 and Drupal 9 support found in 2.x branch."
taxonomy_delete;"Taxonomy delete 8.x-1.1+ supports Drupal 9"
field_slideshow;"Branch 8.3 is compatible with Drupal 9 :)"
contextual_range_filter;"Works in D8 as well as D9."
simple_megamenu;"8.x-1.0 version is now compatible with Drupal 9."
paragraphs_viewmode;"Drupal 9 compatible module."
background_image;"Version 2.0.0 and higher supports Drupal 9."
git_deploy;"Git Deploy fully supports Drupal 9."
webform_content_creator;"Webform Content Creator 8.x-1.6+ supports Drupal 9. Enjoy."
block_form_alter;"This module is ready for Drupal 9!"
jquery_countdown_timer;"This module is Drupal 9 compatible 🍻"
fpa;"This module is Drupal 9 compatible."
scss_compiler;"This module is ready for Drupal 9."
blazy_photoswipe;"Blazy PhotoSwipe 8.x supports Drupal 9. Enjoy."
nodeviewcount;"<a href=""https://www.drupal.org/project/nodeviewcount/issues/3103468"">#3103468: Add new key core_version_requirement in nodeviewcount.info.yml </a>"
meta_position;"Compatible Drupal 9"
webform_xlsx_export;"This module is Drupal 9 ready."
tacjs;"TacJS is Drupal 9 compatible."
hcaptcha;"hCaptcha 1.1 is now Drupal 9 compatible."
nagios;"This module is ready for Drupal 9."
wordpress_migrate;"This module supports Drupal 8 and 9! Help welcome on Drush 9/10: [#2955644]"
cheeseburger_menu;"This module is Drupal 9 ready."
scanner;"D9 is fully supported since 8.x-1.0-rc2."
http_response_headers;"Ready for Drupal 9."
jsonapi_include;"JSON:API Include 8.x-1.1+ supports Drupal 9. Enjoy."
forms_steps;"This module is compatible with D9 !"
modal_page;"Modal 4.0.0+ supports Drupal 9. Enjoy! 🎉"
devel_debug_log;"#3084266: Test for Drupal 9 deprecations"
config_selector;"This project has released 8.x-2.0 that is compatible with Drupal 9 and has automated tests."
linkit_media_library;"This module is Drupal 9 compatible"
media_gallery;"8.x-1.0+ is Drupal 9 compatible."
admin_audit_trail;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/admin_audit_trail?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
paragraphs_sets;"8.x-2.x-dev is compatible with Drupal 9."
photos;"Help port this project at [#3100870] Fund the port of this project at <a href=""https://buysomephotos.com/about"">the demo site</a>."
at_tool;"This module is D9 compatible"
queue_mail;"Drupal 9 compatible"
corporate_lite;"The theme is fully compatible with Drupal 9"
layout_builder_operation_link;"Drupal 9 ready."
vartheme_bs4;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vartheme_bs4?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
term_merge;"This module's source code will be kept compatible with Drupal 9 by regularly replacing usage of deprecated functionality. That should be all that's needed to ensure it runs on Drupal 9."
vartheme_admin;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vartheme_admin?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
entity_hierarchy;"Versions from 8.x-2.18 onwards are Drupal 9 compatible"
dbal;"The module works with D9 🌰"
imagefield_tokens;"Module versions from <strong>8.x-2.2</strong>+ are Drupal Core<strong> 8.8.*+</strong> compatible Module versions before <strong>8.x-2.2</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong>"
examples;"Help port this project at [#3088974]"
job_scheduler;"Currently no known issues with Drupal 9."
vartheme;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vartheme?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
swagger_ui_formatter;"This module is ready for Drupal 9."
simple_fb_connect;"<p>This module is looking for a new maintainer, see <a href=""/project/simple_fb_connect/issues/3222057"">#3222057</a></p>"
smsframework;"Drupal 9 support can be found in 2.x versions. It is a drop in replacement for 1.x branch."
block_classes;"This module is Drupal 9 compatible 🍻"
fz152;"Drupal 9 support added in 8.x-1.5 release."
xmlrpc;"Version 8.x-1.0-beta3 is compatible with both Drupal 8 and 9."
ckeditor_responsive_plugin;"This module is compatible with drupal 9 started version 2.0.0"
noreferrer;"The 8.x-1.x branch of this module supports Drupal 9."
datetime_extras;"datetime_extras is D9 ready as of <a href=""https://www.drupal.org/project/datetime_extras/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a>. Older versions of upgrade_status give false positives for deprecations, since we have fallback code to keep supporting 8.7.x core. You need at least phpstan version 0.12.19 for the ignore comments to work."
toc_api;"Drupal 9 support is coming to 1.0 stable release."
onlyone;"This module is ready for Drupal 9."
apigee_api_catalog;"8.x-2.0+ is Drupal 9 compatible."
simple_responsive_table;"Drupal 9 compatible ftom 8.x-2.3 version."
twitter_embed;"8.x-1.x is Drupal 9 compatible."
better_passwords;"Ready for Drupal 9!"
varbase_landing;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_landing?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
preview_link;"Preview Link 1.6 and later support Drupal 9"
custom_breadcrumbs;"Drupal 9 is also supported!"
scheduled_publish;"3.x-dev needs to be tested."
node_read_time;"Node read time 8.x-1.2+ supports Drupal 9."
broken_link;"Drupal 9 compatible from 8.x-3.1 version"
views_timelinejs;"Versions 8.x-3.2 and higher are compatible with Drupal 9!"
add_to_head;"<a href=""https://www.drupal.org/project/add_to_head/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a> is Drupal 9 compatible"
advanced_help;"Release 8.x-1.0-beta1 is believed to be fully compatible."
prevent_homepage_deletion;"Should be D9 compatible. See issue [#3124144]"
config_default_image;"This module is Drupal 9 ready."
layout_section_classes;"D9 compatible."
httpswww;"No known issues with Drupal 9."
htmlawed;"Drupal 9 port of this module is available."
mediteran;"Drupal 9 Ready 🎉"
qa_accounts;"The 8.x-dev release is D9-compatible"
entity_export_csv;"Entity Export Csv is Drupal 9 compatible since beta5 version"
field_image_style;"Drupal 9 ready"
userswitch;"User Switch 8.x-1.5 + supports Drupal 9. Enjoy."
varbase_heroslider_media;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_heroslider_media?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
core_views_facets;"see [#3106829]"
views_load_more;[#3149281]
toc_filter;"Drupal 9 support is coming to 2.0 stable release."
hierarchical_term_formatter;"Version 1.2 adds Drupal 9 support."
sharedemail;"Release <code>8.x-2.1</code> is D9 compatible!"
twig_render_this;"This module is Drupal 9 ready."
scn;"8.x-1.4+ is Drupal 9 compatible."
commerce_google_tag_manager;"Commerce Google Tag Manager is ready for Drupal 9 - see the issue [#3090750]"
migrate_source_ui;"Support Drupal 9"
language_cookie;"Read more about this project’s readiness at [#3134366]."
responsive_menus;"Context module integration in D9 is not yet working.   See #3212993"
dfp;"<code>1.0</code> is Drupal 9 compatible."
varbase_email;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_email?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
pbf;"Drupal 9 ready since 8.x-1.3"
social_auth_linkedin;"3.x versions support Drupal 9"
calendar_link;"<a href=""https://www.drupal.org/project/calendar_link/releases/2.0.0"">Calendar Links 2.0.0</a> supports Drupal 9."
termcase;"The development release is Drupal 9 compatible. The next stable release after 8.x-1.0 will be Drupal 9 ready."
warden;"Use the 3.x releases for Drupal 9."
quiz;"6.x-dev is Drupal 9 compatible."
vppr;"8.x-1.1 release is compatible with Drupal 9."
cms_content_sync;"This module is Drupal 9 ready."
bg_img_field;"8.x-1.7 is compatible with Drupal 9."
unique_entity_title;"Unique entity title 8.x-1.2+ supports Drupal 9"
filelog;"This module is fully compatible with Drupal 9 as of version 2.0.0."
lp_fontawesome;"Compatible with Drupal 9"
reg_confirm_email;"Help port this project at [#3105943]"
realistic_dummy_content;"<p>This project is Drupal 9-compatible.</p>"
uswds_base;"Drupal 9 Ready"
config_role_split;"Config Role Split is compatible with Drupal 9"
countries_info;"Module is compatible with Drupal 9."
media_migration;"Media Migration is compatible with Drupal 9 from its <code>8.x-1.0-alpha2</code> release."
calendar_systems;"Already compatible with D9 on latest 8.x branch and releases."
upgrade_rector;"8.x-1.0-alpha4 onwards is Drupal 9 compatible."
varbase_carousels;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_carousels?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
insert_view_adv;"Module is fully Drupal 9 compatible"
rng;"Drupal 9 support is complete on the new 3.x branch!"
nextpre;"This module is fully compatible with Drupal 9!"
date_ap_style;"This module is Drupal 9 ready!"
phone_international;"<strong>This module is Drupal 9 ready.</strong>"
menu_item_fields;"The latest release is compatible with Drupal 9"
views_merge_rows;"Compatible with Drupal 9 starting from 8.x-2.2-beta1 version."
addtocal;"Drupal 8/9 release support thanks to Greg Boggs.  9.x release pending, but 8.x is D9 ready."
varbase_styleguide;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_styleguide?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
conference_lite;"The theme is fully compatible with Drupal 9"
protected_submissions;"8.x branch is compatible with Drupal 9!"
add_content_by_bundle;"This module is ready for Drupal 9."
dblog_filter;"[#3058426] Test for Drupal 9 Deprecations"
menu_delete;"This module is fully compatible with Drupal 9."
bxslider;"BxSlider is Drupal 9 compatible."
search_api_field_map;"<strong>This module should be ready for use with Drupal 9.</strong>"
og;"The next alpha release (alpha 6) will be compatible with Drupal 9.1. See https://github.com/Gizra/og/pull/650"
bootstrap_datepicker;"Compatible since <a href=""https://www.drupal.org/project/bootstrap_datepicker/releases/8.x-1.0-beta3"">Beta 3 release</a>"
fotorama_gallery;"🎉This module is currently compatible with Drupal 9. See [#3062325]"
social_simple;"Social simple compatible Drupal 9 since 8.x-1.8 and 2.0.0 version"
field_config_cardinality;"Drupal 9 fully supported!"
html_formatter;"HTML Formatter supports Drupal 9."
condition_query;"Compatible with Drupal 9 as of <a href=""/project/condition_query/releases/8.x-1.3"">8.x-1.3</a>"
create_user_permission;"The version 2.0.0 is fully compatible with Drupal 9."
twig_debugger;"This module is Drupal 9 compatible 🍻"
entityreference_dragdrop;"This module is ready for Drupal 9!"
miniorange_saml;"Currently no known issues with Drupal 9."
imagelightbox;"is now Drupal 9 compatible!"
entityconnect;"Entity connect 8.x-2.0-alpha2+ is Drupal 9 compatible."
field_inheritance;"Built and tested against D8.8, D8.9 and D9.0."
open_readspeaker;"Fully compatible as of 8.x-1.5."
fullcalendar;"Compatible since version 8.x-1.0-alpha3"
status_messages;"This module is Drupal 9 compatible 🍻"
forward;"Drupal 9 releases of Forward are ready for Production use."
extra_field_description;"Extra Field Description 8.x-1.6+ supports Drupal 9. Enjoy."
bootstrap_quicktabs;"This module is Drupal 9 compatible"
ckeditor_contents;"<h2>Drupal 9 ready</h2> Tested and working with Drupal 9 since 8.x-1.2.  Drupal is moving to semantic versioning for modules. Until then, Drupal 9 will use 8.x modules flagged with `core_version_requirement`."
queue_unique;"Module is compatible with Drupal 9 since [#3152220]"
image_slider;"Module is compatible with Drupal 9."
field_time;"This module is fully compatible with drupal 9"
search_api_algolia;"Read more about this project’s readiness at <a href=""https://www.drupal.org/project/search_api_algolia/issues/3138856"">#3138856</a>"
webform_node_element;"8.x-1.x-dev branch is D9 ready with the exception of tests."
node_access_rebuild_progressive;"There is a new release 2.0 covering Drupal 9, please use this version if you are working with Drupal version >= 8.8"
field_gallery;"Drupal 9 ready"
simplesamlphp_custom_attributes;"2.0.0 and 1.1 support Drupal 9."
vartheme_claro;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vartheme_claro?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
groupmedia;"Module is Drupal 9 compatible."
pdb;"Drupal 9 is supported."
tooltip_taxonomy;"Tooltip Taxonomy 8.x-1.3+ supports Drupal 9."
view_modes_display;"Supported as of 8.x-2.2!"
fillpdf;"Ready for Drupal 9, but some dependencies are not. Will not move to beta until they are. To sponsor development, see the <strong><a href=""#fund"">Help fund development</a></strong> section."
layout_options;"This module passes the check-drupal tests for deprecated functions.  Unless there are major changes in the core Layout structure, this should work fine with 9."
simple_styleguide;"Drupal 9 ready!"
rules_token;"Release 2.0.0 is compatible with Drupal 9."
saml_sp;"Currently there is no known deprecated code, limited testing completed on Drupal 9."
twig_remove_html_comments;"Release <a href=""https://www.drupal.org/project/twig_remove_html_comments/releases/8.x-1.0-beta1"" title=""8.x-1.0-beta1"">8.x-1.0-beta1</a> and onwards is compatible with Drupal 9."
sortableviews;"Version 8.x-1.0-beta1 supports Drupal 9"
material_base;"The theme versions 1.8+ and 2.0+ are compatible with Drupal 9"
ckeditor_details;"This module is Drupal 9 ready."
smart_title;"Smart Title is compatible with Drupal 9."
varbase_layout_builder;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_layout_builder?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
podcast;"The latest version is compatible with Drupal 9"
simple_menu_permissions;"The dev version and the 1.3 release is compatible with Drupal 9 requirements."
views_url_path_arguments;"Fully supports Drupal 9."
ldap_sso;"Branch 4.x is compatible with D9."
show_email;"Show Email Address 8.x-1.0+ supports Drupal 9."
disable_login;"This module is supported in both D8 and D9"
field_label;"Field Label works with Drupal 9."
transaction;"This module is compatible with Drupal 9 from version 1.0-beta1 onwards"
single_image_formatter;"This module and its submodules are already compatible with Drupal 9."
nice_login;"Compatible with Drupal 9"
terms_of_use;"8.x-2.0+ is Drupal 9 compatible."
twig_views;"Release <code>8.x-1.3</code> is D9 compatible!"
token_embed_views;"Drupal 9 compatible."
helper;"This module is Drupal 9 compatible."
modifiers;"This module is Drupal 9 compatible."
businessplus_lite;"The theme is fully compatible with Drupal 9"
external_hreflang;"This module is D9 ready."
smart_sql_idmap;"Smart SQL ID Map is compatible with Drupal 9"
varbase_search;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_search?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
simple_facebook_pixel;"This module is Drupal 9 ready."
paragraphs_browser_previewer;"Module already ready to Drupal 9"
s3fs_cors;"This module now works with Drupal 9."
remove_entity_untranslatable_field_validation;"Drupal 9 compatible."
paragraphs_entity_embed;"We are now ready for D9 and added a compatibility release."
views_taxonomy_parent_id_from_term;"This module is Drupal 9 ready."
typogrify;"The 8.x-1.0 release is compatible with Drupal 9."
config_log;"The version 3.0.0 is compatible with Drupal 9."
duplicate_role;"Duplicate role is compatible with Drupal 9."
registration_link;"No deprecation usage."
protected_file;"Drupal 9 ready"
fac;"Fast Autocomplete >= 8.x-1.6 is Drupal 9 compatible."
admin_toolbar_mediteran;"Drupal 9 is currently supported from version 1.5"
recurring_events;"Built and tested against D8.9 and D9.0."
commerce_simple_stock;"This module is Drupal 9 compatible 🍻"
layout_bg;Ready!
entitygroupfield;"Supports Drupal 8.8.x through 9.0.x."
delete_files;"Delete Files 8.x-1.5+ supports Drupal 9."
user_field_value;"I think views core should merge this."
range_slider;"Release <code>8.x-1.1</code> is D9 compatible!"
flood_settings;"This module is already compatible with Drupal 9."
estore;"<h2>Drupal 9 Compatibility</h2> The theme is safe to be installed on the D9 project once the all modules dependencies will be ported to D9."
zuvi;"This theme is Drupal 9 ready. Zuvi theme is compatible on Drupal 9. So, go ahead and use the theme on Drupal 9 websites."
drimage;"Drupal 9 is fully supported."
lingotek;"D9 Ready!  Tasks were done under [#3065940]"
simple_mail;"This module was ported to Drupal 9 during DrupalCon Global 2020."
geshifilter;"The new dev branch 8.2 works with Drupal 8.8.x and with Drupal 9, so the plan is to release a beta version when Drupal 9 come and if there is not any new issue with it, release a stable version after."
preprocess;"8.x-1.3+ is Drupal 9 compatible."
section_library;"Ready for Drupal 9!"
draggable_dashboard;"Module is fully Drupal 9 compatible"
custom_view_filters;"This module is already compatible with Drupal 9."
entity_language_fallback;"Help port this project at [#3088973]"
colossal_menu;"Version 8.x-1.4 is Drupal 9 compatible."
workflows_field;"Drupal >=8.9 and Drupal 9 support can be found in 2.x branch."
build_hooks;"The 2.x and 3.x versions support Drupal 9 ✨🦄"
responsive_background_image;"This module is Drupal 9 compatible in the latest branch (>= alpha2)"
age_field_formatter;"This module is Drupal 9 ready."
ckeditor_images_gallery;"CKEditor Images Gallery 8.x-1.4+ supports Drupal 9. Enjoy."
rocket_chat;"Help test this project at #<a href=""https://www.drupal.org/project/rocket_chat/issues/3132031"">3132031</a>"
ip_anon;"The 8.x-1.x branch of this module supports Drupal 9."
rel_to_abs;Ready!
ckeditor_specialchars;"Drupal 9 ready"
address_display;"Drupal 9 is also supported."
adv_varnish;"4.0+ versions are compatible with Drupal 9"
toolbar_language_switcher;"The current dev version has to be compatible with Drupal Core 9. Anyway, any feature or bug requests are welcome."
email_confirmer;"Work in progress, see [#3119778]"
tmgmt_extension_suit;"Drupal 9 compatible"
betterlt;"This module is Drupal 9 compatible 🍻"
d8_google_optimize_hide_page;"Fully ported to Drupal 9"
google_optimize;"Fully ported to Drupal 9"
thex;"The X theme is compatible with 9 also."
varbase_workflow;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_workflow?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
views_autorefresh_d8;"D9 ready"
electra;"At present compatible with Drupal 9"
tmgmt_smartling;"Drupal 9 compatible"
smart_date_starter_kit;"This module only provides configuration, so nothing should be need to be updated for Drupal 9."
minimal_lite;"The theme is fully compatible with Drupal 9"
user_menu_avatar;"Drupal Rector patch for D9 compatibility has been applied."
date_recur_interactive;"Not tested with Drupal 9. As of September 2020 the recommended path is to switch to an alternative/custom widget than continue using this in Drupal 9. This may change if a new maintainer is identified."
image_link_attributes;"The stable release of the Image Link Attributes module has been tested and is Drupal 9 compatible."
bootstrap4_modal;"This module is Drupal 9 ready <a href=""https://www.drupal.org/project/bootstrap4_modal/issues/3122876"">https://www.drupal.org/project/bootstrap4_modal/issues/3122876</a>"
loqate;"Releases <code>8.x-1.6-alpha1</code> and <code>2.0.0</code> are D9 compatible!"
fortytwo;"Drupal 9 compatible!"
convert_nodes;"Converted by lobodacyril"
commerce_variation_add_to_cart;"This module is Drupal 9 ready."
campaignmonitor;"Read more about this project’s readiness at [#3146377] and [#3149575]."
breeze;"3.0.0 branch works on Both D8 and D9"
layout_builder_base;"The module is Drupal 9 ready!"
userpoints;"This module is compatible with Drupal 9 from version 1.0-beta1 onwards"
better_field_descriptions;"Better Field Descriptions 8.x-1.5+ supports Drupal 9. Enjoy."
pcr;"This module is ready for Drupal 9!"
views_flexbox;"This project has been marked as compatible with Drupal 9. See [#3125649]"
rules_webform;"3.0.1 release is intended for Drupal 9."
ui_patterns_field_formatters;"Already compatible (no deprecated API & core_version_requirement is set)"
fraction;"The 2.x branch is compatible with Drupal 9."
video_embed_brightcove;"This module is Drupal 9 compatible."
maestro;"A 3.0.0-xxx release for Maestro has been provided.  This release has removed all deprecated code, has code style updates and allows Maestro to be run on D8.8+ and D9."
content_synchronizer;"Content Synchronizer supports Drupal 9 since version 3.0"
bibcite;"Currently no known Drupal 9 compatibility issues in latest <a href=""https://www.drupal.org/project/bibcite/releases/8.x-1.x-dev"">8.x-1.x-dev</a>. [#3106019] [#3122162] [#3122519] [#3122751] [#3122552]"
htmlpurifier;"As of 1.0-rc2, full support for Drupal 8 and Drupal 9 is available."
jsonb;"Compatible with 9.0 since 8.x-1.0-beta3"
view_profiles_perms;"Project is compatible with Drupal 9 (2.0.x)"
views_fractionslider;"<strong>FractionSlider 8.x-1.2</strong> Scanned on 09-Apr-2020. No known issues found.  <strong>Views FractionSlider 8.x-1.2</strong> Scanned on 09-Apr-2020. No known issues found."
social_post;"Version 3.x supports Drupal 9!"
existing_values_autocomplete_widget;"Use version 2.x for D9"
view_user_email;"1.x.x is compatible with Drupal 9."
matomo_reports;"This module is Drupal 9 ready!"
language_hierarchy;"The latest 2.0.0-rc1 release is compatible with Drupal 9!"
domain_menus;"Use 3.x"
miniorange_oauth_client;"<strong>Currently no known issues with Drupal 9.</strong>"
jquery_carousel;"jQuery Carousel 8.x-1.0+ supports Drupal 9."
views_attach_library;"Fully Drupal 9 compatible as of 8.x-1.x."
lockr;"Lockr works wonderfully on Drupal 9!"
dimension;"This project is ready for Drupal 9"
media_thumbnail_url_formatter;"media_thumbnail_url_formatter >= 2.0.0 supports Drupal 9."
pet;"Please help in finishing Drupal 8 issues, so this module can be ported to Drupal9."
layout_builder_save_and_edit;"This module is Drupal 9 compatible 🍻"
events_logging;"Version 8.x-1.5 is drupal 9 compatible"
group_content_menu;"Support Drupal 8 and Drupal 9."
twig_typography;"This module is ready for Drupal 9."
pfm;"Compatible since version 8.x-1.2"
format_bytes;"Works out of the box with Drupal 9"
spamicide;"Drupal 9 is also supported."
editor_button_link;"8.x-1.0-beta3 is [#3130736]."
extra_body_classes;"Compatible with Drupal 9"
merge_translations;"Merge translations is ready for Drupal 9 :)"
varbase_blog;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_blog?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
webform_civicrm;"Webform CiviCRM 8.x-5.x works with and has automated testing for Drupal 9!"
formatter_suite;"Formatter Suite 8.x-1.3 is compatible with Drupal 9."
smart_date_calendar_kit;"This module is Drupal 9 ready."
n1ed;"N1ED is ready for Drupal 9"
redirect_after_registration;"Not yet started."
colors;"Compatible since version 8.x-1.0-beta1"
